,gross_domestic_product,unemployment_rate,inflation_rate,interest_rate,consumer_price_index,producer_price_index,balance_of_trade,industrial_production_index,consumer_confidence_index
1913-09-07,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-08,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-09,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-10,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-11,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-12,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-13,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-14,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-15,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-16,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-17,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-18,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-19,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-20,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-21,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-22,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-23,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-24,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-25,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-26,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-27,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-28,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-29,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
